TotalLinesOfCode,TotalSymbols,SymbolsPerLine,Area,AreaPerLine,TotalConnectivity,TotalConnectivityPerLine,FieldConnectivity,FieldConnectivityPerLine,MethodConnectivity,MethodConnectivityPerLine,MethodDeclarationLines,MethodDeclarationSymbols,MethodDeclarationSymbolsPerLine,MethodDeclarationArea,MethodDeclarationDepthPerLine,KeywordContinueTotalCount,KeywordContinueCountPerLine,KeywordForTotalCount,KeywordForCountPerLine,KeywordNewTotalCount,KeywordNewCountPerLine,KeywordSwitchTotalCount,KeywordSwitchCountPerLine,KeywordAssertTotalCount,KeywordAssertCountPerLine,KeywordSynchronizedTotalCount,KeywordSynchronizedCountPerLine,KeywordBooleanTotalCount,KeywordBooleanCountPerLine,KeywordDoTotalCount,KeywordDoCountPerLine,KeywordIfTotalCount,KeywordIfCountPerLine,KeywordThisTotalCount,KeywordThisCountPerLine,KeywordBreakTotalCount,KeywordBreakCountPerLine,KeywordDoubleTotalCount,KeywordDoubleCountPerLine,KeywordThrowTotalCount,KeywordThrowCountPerLine,KeywordByteTotalCount,KeywordByteCountPerLine,KeywordElseTotalCount,KeywordElseCountPerLine,KeywordCaseTotalCount,KeywordCaseCountPerLine,KeywordInstanceofTotalCount,KeywordInstanceofCountPerLine,KeywordReturnTotalCount,KeywordReturnCountPerLine,KeywordTransientTotalCount,KeywordTransientCountPerLine,KeywordCatchTotalCount,KeywordCatchCountPerLine,KeywordIntTotalCount,KeywordIntCountPerLine,KeywordShortTotalCount,KeywordShortCountPerLine,KeywordTryTotalCount,KeywordTryCountPerLine,KeywordCharTotalCount,KeywordCharCountPerLine,KeywordFinalTotalCount,KeywordFinalCountPerLine,KeywordFinallyTotalCount,KeywordFinallyCountPerLine,KeywordLongTotalCount,KeywordLongCountPerLine,KeywordStrictfpTotalCount,KeywordStrictfpCountPerLine,KeywordFloatTotalCount,KeywordFloatCountPerLine,KeywordSuperTotalCount,KeywordSuperCountPerLine,KeywordWhileTotalCount,KeywordWhileCountPerLine,label
1,34,34.0,0,0.0,0,0.0,0,0.0,0,0.0,46,1696,36.869565217391305,167,3.630434782608696,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
24,984,41.0,14,0.583333333333333,1,0.022222222222222,0,0.0,1,0.022222222222222,105,6087,57.97142857142857,457,4.352380952380952,0,0.0,1,0.022222222222222,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.044444444444444,0,0.0,0,0.0,7,0.155555555555555,0,0.0,0,0.0,2,0.044444444444444,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
16,510,31.875,0,0.0,0,0.0,0,0.0,0,0.0,22,676,30.727272727272727,17,0.772727272727272,0,0.0,1,0.0625,4,0.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.0625,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
15,649,43.266666666666666,0,0.0,0,0.0,0,0.0,0,0.0,40,1549,38.725,34,0.85,0,0.0,0,0.0,3,0.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
55,2241,40.74545454545454,93,1.690909090909091,10,0.181818181818181,4,0.072727272727272,6,0.109090909090909,64,2543,39.734375,207,3.234375,0,0.0,3,0.054545454545454,2,0.036363636363636,0,0.0,0,0.0,0,0.0,1,0.018181818181818,5,0.09090909090909,4,0.072727272727272,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.036363636363636,0,0.0,0,0.0,3,0.054545454545454,0,0.0,0,0.0,3,0.054545454545454,0,0.0,1,0.018181818181818,0,0.0,4,0.072727272727272,1,0.018181818181818,1,0.018181818181818,0,0,0,0.0,0,0.0,0,0.0,1
3,293,97.66666666666669,0,0.0,0,0.0,0,0.0,0,0.0,55,3518,63.96363636363636,131,2.381818181818182,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
5,274,54.8,0,0.0,1,0.166666666666666,1,0.166666666666666,0,0.0,32,1096,34.25,25,0.7812500000000001,0,0.0,0,0.0,1,0.166666666666666,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.166666666666666,0,0.0,1,0.166666666666666,0,0,0,0.0,0,0.0,0,0.0,0
23,1062,46.17391304347826,0,0.0,0,0.0,0,0.0,0,0.0,55,2151,39.10909090909091,53,0.9636363636363632,0,0.0,0,0.0,8,0.296296296296296,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.074074074074074,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
16,539,33.6875,8,0.5,0,0.0,0,0.0,0,0.0,33,1044,31.63636363636364,52,1.575757575757575,0,0.0,1,0.071428571428571,4,0.285714285714285,0,0.0,11,0.785714285714285,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.071428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
4,309,77.25,0,0.0,4,0.5,3,0.375,1,0.125,20,1068,53.4,17,0.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,1,0.125,0,0.0,0
4,273,68.25,0,0.0,1,0.166666666666666,0,0.0,1,0.166666666666666,19,1018,53.578947368421055,17,0.894736842105263,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,0
1,46,46.0,0,0.0,1,1.0,0,0.0,1,1.0,14,347,24.785714285714285,11,0.785714285714285,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
2,159,79.5,0,0.0,0,0.0,0,0.0,0,0.0,5,294,58.8,2,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.5,0,0.0,0,0.0,0,0,0,0.0,0,0.0,0,0.0,1
